signup_month,0,1,2,3,4,5,6
2024-01,15326.75,7782.82,2801.92,1074.51,137.95,0.0,0.0
2024-02,12728.289999999999,6064.13,3173.38,1006.27,182.45,0.0,0.0
2024-03,12767.49,6243.06,2690.88,767.9399999999999,124.00999999999999,0.0,0.0
2024-04,15288.7,7772.45,2698.06,707.59,341.39,65.3,0.0
2024-05,13448.03,5505.49,2837.14,623.74,150.78,0.0,0.0
2024-06,14174.01,6507.21,3425.27,927.61,285.28000000000003,0.0,0.0
2024-07,14415.91,7057.85,2601.6,796.39,274.82,36.09,0.0
2024-08,14962.88,7574.59,3027.9,1217.05,233.68,0.0,0.0
2024-09,14333.02,6522.75,2781.98,1300.67,537.99,16.09,107.34
2024-10,14146.58,6026.25,2726.06,976.3,333.4,226.47,0.0
2024-11,16561.83,7314.74,2935.06,933.56,188.39999999999998,0.0,0.0
2024-12,15554.11,6769.83,2582.77,708.96,0.0,0.0,0.0
