user_id,signup_month,activity_month,revenue_usd
U00002,2024-12-31,2024-12-31,26.53
U00002,2024-12-31,2025-01-31,54.59
U00006,2024-09-30,2024-09-30,131.86
U00006,2024-09-30,2024-10-31,105.72
U00015,2024-11-30,2024-11-30,61.87
U00015,2024-11-30,2024-12-31,22.91
U00015,2024-11-30,2025-01-31,85.12
U00016,2024-12-31,2024-12-31,142.63
U00018,2024-06-30,2024-06-30,112.66
U00020,2024-11-30,2024-11-30,73.3
U00021,2024-08-31,2024-08-31,45.96
U00022,2024-12-31,2024-12-31,37.77
U00023,2024-07-31,2024-07-31,105.36
U00023,2024-07-31,2024-08-31,143.91
U00023,2024-07-31,2024-09-30,121.68
U00024,2024-08-31,2024-08-31,135.02
U00026,2024-01-31,2024-01-31,125.29
U00028,2024-01-31,2024-01-31,79.37
U00030,2024-09-30,2024-09-30,140.18
U00030,2024-09-30,2024-10-31,142.84
U00030,2024-09-30,2024-11-30,89.17
U00032,2024-10-31,2024-10-31,106.99
U00032,2024-10-31,2024-11-30,87.9
U00032,2024-10-31,2024-12-31,16.12
U00035,2024-11-30,2024-11-30,144.72
U00037,2024-01-31,2024-01-31,92.41
U00037,2024-01-31,2024-02-29,34.33
U00037,2024-01-31,2024-03-31,103.04
U00037,2024-01-31,2024-04-30,43.34
U00038,2024-08-31,2024-08-31,128.04
U00039,2024-08-31,2024-08-31,17.02
U00039,2024-08-31,2024-09-30,27.09
U00040,2024-09-30,2024-09-30,148.81
U00042,2024-04-30,2024-04-30,22.97
U00043,2024-05-31,2024-05-31,112.64
U00044,2024-08-31,2024-08-31,130.11
U00045,2024-12-31,2024-12-31,111.79
U00045,2024-12-31,2025-01-31,49.27
U00046,2024-07-31,2024-07-31,99.83
U00047,2024-02-29,2024-02-29,40.84
U00048,2024-01-31,2024-01-31,114.62
U00048,2024-01-31,2024-02-29,123.31
U00051,2024-02-29,2024-02-29,42.97
U00051,2024-02-29,2024-03-31,137.63
U00051,2024-02-29,2024-04-30,111.28
U00051,2024-02-29,2024-05-31,147.25
U00051,2024-02-29,2024-06-30,16.57
U00054,2024-01-31,2024-01-31,13.47
U00054,2024-01-31,2024-02-29,64.54
U00055,2024-11-30,2024-11-30,47.34
U00055,2024-11-30,2024-12-31,92.81
U00056,2024-12-31,2024-12-31,12.48
U00056,2024-12-31,2025-01-31,28.77
U00056,2024-12-31,2025-02-28,80.18
U00057,2024-04-30,2024-04-30,115.75
U00057,2024-04-30,2024-05-31,131.05
U00059,2024-01-31,2024-01-31,16.28
U00059,2024-01-31,2024-02-29,10.55
U00059,2024-01-31,2024-03-31,65.22
U00059,2024-01-31,2024-04-30,77.48
U00061,2024-06-30,2024-06-30,72.75
U00062,2024-10-31,2024-10-31,72.18
U00062,2024-10-31,2024-11-30,129.0
U00062,2024-10-31,2024-12-31,139.99
U00063,2024-07-31,2024-07-31,48.5
U00065,2024-12-31,2024-12-31,61.5
U00065,2024-12-31,2025-01-31,70.59
U00065,2024-12-31,2025-02-28,73.68
U00067,2024-02-29,2024-02-29,129.16
U00069,2024-09-30,2024-09-30,32.74
U00069,2024-09-30,2024-10-31,44.39
U00070,2024-08-31,2024-08-31,119.49
U00070,2024-08-31,2024-09-30,92.44
U00070,2024-08-31,2024-10-31,126.64
U00071,2024-09-30,2024-09-30,95.73
U00071,2024-09-30,2024-10-31,79.8
U00072,2024-03-31,2024-03-31,70.7
U00073,2024-01-31,2024-01-31,71.31
U00073,2024-01-31,2024-02-29,35.06
U00074,2024-04-30,2024-04-30,35.36
U00075,2024-03-31,2024-03-31,142.11
U00075,2024-03-31,2024-04-30,43.75
U00076,2024-08-31,2024-08-31,60.8
U00076,2024-08-31,2024-09-30,42.71
U00076,2024-08-31,2024-10-31,53.19
U00076,2024-08-31,2024-11-30,143.46
U00078,2024-06-30,2024-06-30,133.77
U00078,2024-06-30,2024-07-31,121.38
U00078,2024-06-30,2024-08-31,114.93
U00078,2024-06-30,2024-09-30,90.77
U00080,2024-08-31,2024-08-31,62.38
U00083,2024-10-31,2024-10-31,102.39
U00084,2024-12-31,2024-12-31,125.25
U00086,2024-11-30,2024-11-30,65.29
U00089,2024-08-31,2024-08-31,119.65
U00090,2024-09-30,2024-09-30,87.42
U00091,2024-11-30,2024-11-30,61.02
U00092,2024-04-30,2024-04-30,97.02
U00092,2024-04-30,2024-05-31,68.21
U00094,2024-02-29,2024-02-29,120.83
U00095,2024-05-31,2024-05-31,68.07
U00095,2024-05-31,2024-06-30,111.43
U00096,2024-01-31,2024-01-31,95.85
U00096,2024-01-31,2024-02-29,124.92
U00096,2024-01-31,2024-03-31,119.48
U00097,2024-03-31,2024-03-31,132.56
U00098,2024-03-31,2024-03-31,63.87
U00098,2024-03-31,2024-04-30,18.22
U00101,2024-05-31,2024-05-31,68.58
U00101,2024-05-31,2024-06-30,62.31
U00101,2024-05-31,2024-07-31,14.0
U00105,2024-06-30,2024-06-30,75.19
U00106,2024-01-31,2024-01-31,124.56
U00108,2024-03-31,2024-03-31,94.49
U00108,2024-03-31,2024-04-30,86.41
U00110,2024-03-31,2024-03-31,90.44
U00112,2024-06-30,2024-06-30,103.41
U00114,2024-12-31,2024-12-31,56.25
U00114,2024-12-31,2025-01-31,146.53
U00115,2024-06-30,2024-06-30,89.72
U00115,2024-06-30,2024-07-31,13.06
U00117,2024-07-31,2024-07-31,47.36
U00118,2024-02-29,2024-02-29,64.42
U00120,2024-11-30,2024-11-30,142.27
U00121,2024-03-31,2024-03-31,133.63
U00122,2024-06-30,2024-06-30,86.68
U00123,2024-08-31,2024-08-31,40.97
U00125,2024-07-31,2024-07-31,112.11
U00125,2024-07-31,2024-08-31,107.32
U00126,2024-09-30,2024-09-30,97.9
U00129,2024-12-31,2024-12-31,58.66
U00129,2024-12-31,2025-01-31,22.45
U00132,2024-05-31,2024-05-31,55.17
U00133,2024-07-31,2024-07-31,55.94
U00134,2024-11-30,2024-11-30,64.75
U00134,2024-11-30,2024-12-31,147.82
U00134,2024-11-30,2025-01-31,100.14
U00134,2024-11-30,2025-02-28,25.83
U00137,2024-01-31,2024-01-31,60.55
U00137,2024-01-31,2024-02-29,114.62
U00139,2024-12-31,2024-12-31,145.72
